Date,Block Volume,Change,EFP Volume,EFS Volume,High,Last,Low,Open,Open Interest,Prev. Day Open Interest,Settle,Symbol,Volume,Wave
2013-08-28,,43.0,,,2475.0,,2471.0,2471.0,,396.0,2463.0,CC,11.0,
2013-08-29,,-7.0,,,2450.0,,2441.0,2450.0,,391.0,2456.0,CC,13.0,
2013-08-30,,-43.0,,,2454.0,,2400.0,2454.0,,372.0,2413.0,CC,14.0,
2013-09-02,,,,,0.0,,0.0,0.0,,0.0,2413.0,CC,0.0,
2013-09-03,,,,,2411.0,,2390.0,2411.0,,355.0,2397.0,CC,7.0,
2013-09-04,,78.0,,,2478.0,,2397.0,2397.0,,352.0,2475.0,CC,24.0,
2013-09-05,,71.0,,,2548.0,,2493.0,2493.0,,332.0,2546.0,CC,6.0,
2013-09-06,,-2.0,,,2540.0,,2540.0,2540.0,,326.0,2544.0,CC,112.0,
2013-09-09,,-18.0,,,0.0,,0.0,0.0,,235.0,2526.0,CC,0.0,
2013-09-10,,18.0,,,2532.0,,2531.0,2531.0,,235.0,2544.0,CC,8.0,
2013-09-11,,-1.0,,,2533.0,,2521.0,2521.0,,235.0,2543.0,CC,3.0,
2013-09-12,,20.0,,,2574.0,,2568.0,2568.0,,226.0,2563.0,CC,9.0,
2013-09-13,,13.0,,,0.0,,0.0,0.0,,220.0,2576.0,CC,187.0,
2013-09-16,,,,,0.0,,0.0,0.0,,220.0,0.0,CC,0.0,
2013-09-17,,,,,0.0,,0.0,0.0,,0.0,0.0,CC,0.0,
2013-09-18,,9.0,248.0,,2630.0,,2606.0,2616.0,,106737.0,2623.0,CC,8745.0,
2013-09-19,,7.0,104.0,,2657.0,,2605.0,2630.0,,107028.0,2630.0,CC,10221.0,
2013-09-20,,-22.0,93.0,,2630.0,,2579.0,2630.0,,106875.0,2608.0,CC,11795.0,
2013-09-23,,2.0,564.0,,2627.0,,2598.0,2608.0,,106646.0,2610.0,CC,10127.0,
2013-09-24,,-7.0,1165.0,,2610.0,,2586.0,2600.0,,107649.0,2603.0,CC,8505.0,
2013-09-25,,-30.0,351.0,,2609.0,,2561.0,2608.0,,107562.0,2573.0,CC,13728.0,
2013-09-26,,24.0,877.0,,2611.0,,2555.0,2565.0,,106497.0,2597.0,CC,11198.0,
2013-09-27,,42.0,567.0,,2643.0,,2602.0,2605.0,,107913.0,2639.0,CC,12275.0,
2013-09-30,,1.0,207.0,,2646.0,,2623.0,2639.0,,108916.0,2640.0,CC,8237.0,
2013-10-01,,-6.0,2154.0,,2646.0,,2620.0,2644.0,,108677.0,2634.0,CC,9913.0,
2013-10-02,,-2.0,282.0,,2640.0,,2622.0,2628.0,,108596.0,2632.0,CC,7751.0,
2013-10-03,,-47.0,771.0,,2643.0,,2561.0,2632.0,,109090.0,2585.0,CC,17641.0,
2013-10-04,,26.0,200.0,,2627.0,,2574.0,2580.0,,105647.0,2611.0,CC,11170.0,
2013-10-07,,88.0,8.0,,2710.0,,2618.0,2621.0,,104499.0,2699.0,CC,29911.0,
2013-10-08,,19.0,286.0,,2731.0,,2696.0,2704.0,,108981.0,2718.0,CC,14437.0,
2013-10-09,,-15.0,52.0,31.0,2733.0,,2693.0,2730.0,,107793.0,2703.0,CC,8276.0,
2013-10-10,,26.0,144.0,,2735.0,,2712.0,2717.0,,106997.0,2729.0,CC,7928.0,
2013-10-11,,17.0,209.0,,2752.0,,2722.0,2735.0,,106921.0,2746.0,CC,7664.0,
2013-10-14,,-33.0,103.0,,2757.0,,2695.0,2746.0,,106174.0,2713.0,CC,10153.0,
2013-10-15,,47.0,80.0,,2770.0,,2709.0,2713.0,,104704.0,2760.0,CC,12316.0,
2013-10-16,,-13.0,95.0,,2763.0,,2722.0,2754.0,,105619.0,2747.0,CC,7580.0,
2013-10-17,,20.0,271.0,,2776.0,,2748.0,2751.0,,105060.0,2767.0,CC,9172.0,
2013-10-18,,-46.0,313.0,,2771.0,,2688.0,2771.0,,106004.0,2721.0,CC,15100.0,
2013-10-21,,9.0,401.0,15.0,2735.0,,2692.0,2715.0,,105226.0,2730.0,CC,8894.0,
2013-10-22,,39.0,165.0,25.0,2780.0,,2716.0,2730.0,,106786.0,2769.0,CC,9687.0,
2013-10-23,,-55.0,430.0,,2776.0,,2709.0,2763.0,,107389.0,2714.0,CC,14647.0,
2013-10-24,,-28.0,190.0,,2719.0,,2680.0,2707.0,,106306.0,2686.0,CC,11185.0,
2013-10-25,,27.0,130.0,,2730.0,,2673.0,2683.0,,104969.0,2713.0,CC,12717.0,
2013-10-28,,-29.0,517.0,,2716.0,,2678.0,2708.0,,103500.0,2684.0,CC,8564.0,
2013-10-29,,-25.0,546.0,500.0,2694.0,,2653.0,2684.0,,101921.0,2659.0,CC,17812.0,
2013-10-30,,1.0,240.0,,2671.0,,2646.0,2660.0,,96719.0,2660.0,CC,12076.0,
2013-10-31,,17.0,15.0,,2694.0,,2650.0,2662.0,,91894.0,2677.0,CC,14668.0,
2013-11-01,,-26.0,33.0,,2668.0,,2634.0,2667.0,,87748.0,2651.0,CC,15708.0,
2013-11-04,,3.0,1517.0,,2661.0,,2630.0,2650.0,,78926.0,2654.0,CC,18100.0,
2013-11-05,,82.0,550.0,,2745.0,,2655.0,2655.0,,67461.0,2736.0,CC,27486.0,
2013-11-06,,-6.0,190.0,397.0,2744.0,,2719.0,2740.0,,57828.0,2730.0,CC,19620.0,
2013-11-07,,-54.0,974.0,,2732.0,,2646.0,2730.0,,46770.0,2676.0,CC,25232.0,
2013-11-08,,-29.0,1468.0,,2676.0,,2640.0,2676.0,,31525.0,2647.0,CC,17757.0,
2013-11-11,,-61.0,96.0,,2644.0,,2568.0,2644.0,,21039.0,2586.0,CC,15210.0,
2013-11-12,,21.0,1600.0,,2619.0,,2571.0,2580.0,,12828.0,2607.0,CC,6519.0,
2013-11-13,,40.0,650.0,,2672.0,,2604.0,2610.0,,6618.0,2647.0,CC,4689.0,
2013-11-14,,14.0,261.0,,2675.0,,2640.0,2651.0,,2948.0,2661.0,CC,2357.0,
2013-11-15,,75.0,,,2742.0,,2648.0,2664.0,,1232.0,2736.0,CC,281.0,
2013-11-18,,44.0,,,2785.0,,2718.0,2735.0,,1134.0,2780.0,CC,268.0,
2013-11-19,,15.0,,,2805.0,,2764.0,2778.0,,976.0,2795.0,CC,69.0,
2013-11-20,,15.0,,,2820.0,,2796.0,2799.0,,939.0,2810.0,CC,47.0,
2013-11-21,,-14.0,,,2792.0,,2786.0,2790.0,,788.0,2796.0,CC,20.0,
2013-11-22,,4.0,,,2806.0,,2786.0,2796.0,,521.0,2800.0,CC,6.0,
2013-11-25,,8.0,,,2811.0,,2793.0,2793.0,,523.0,2808.0,CC,12.0,
2013-11-26,,-35.0,,,2808.0,,2765.0,2808.0,,473.0,2773.0,CC,49.0,
2013-11-27,,-3.0,,,2779.0,,2779.0,2779.0,,407.0,2770.0,CC,3.0,
2013-11-28,,,,,0.0,,0.0,0.0,,0.0,2770.0,CC,0.0,
2013-11-29,,,,,2793.0,,2788.0,2788.0,,402.0,2791.0,CC,40.0,
2013-12-02,,30.0,,,2840.0,,2832.0,2839.0,,387.0,2821.0,CC,29.0,
2013-12-03,,-5.0,,,2821.0,,2821.0,2821.0,,358.0,2816.0,CC,1.0,
2013-12-04,,-39.0,,,2831.0,,2780.0,2826.0,,357.0,2777.0,CC,22.0,
2013-12-05,,-15.0,,,2759.0,,2757.0,2757.0,,195.0,2762.0,CC,32.0,
2013-12-06,,51.0,,,2820.0,,2810.0,2810.0,,138.0,2813.0,CC,7.0,
2013-12-09,,-52.0,,,2790.0,,2770.0,2790.0,,124.0,2761.0,CC,16.0,
2013-12-10,,22.0,,,2769.0,,2768.0,2768.0,,108.0,2783.0,CC,4.0,
2013-12-11,,-18.0,,,2771.0,,2765.0,2771.0,,101.0,2765.0,CC,3.0,
2013-12-12,,32.0,,,2809.0,,2798.0,2809.0,,65.0,2797.0,CC,6.0,
2013-12-13,,-14.0,,,0.0,,0.0,0.0,,59.0,2783.0,CC,7.0,
2013-12-16,,,,,0.0,,0.0,0.0,,0.0,0.0,CC,0.0,
2013-12-17,,,,,0.0,,0.0,0.0,,0.0,0.0,CC,0.0,
2013-12-18,,-1.0,1419.0,,2794.0,,2765.0,2771.0,,113641.0,2770.0,CC,6724.0,
2013-12-19,,21.0,974.0,,2809.0,,2772.0,2777.0,,113159.0,2791.0,CC,9727.0,
2013-12-20,,28.0,510.0,,2823.0,,2784.0,2785.0,,112811.0,2819.0,CC,7347.0,
2013-12-23,,-11.0,1109.0,,2825.0,,2785.0,2819.0,,113683.0,2808.0,CC,6178.0,
2013-12-24,,12.0,36.0,,2835.0,,2803.0,2803.0,,112648.0,2820.0,CC,3955.0,
2013-12-26,,,158.0,,2819.0,,2770.0,2815.0,,113602.0,2783.0,CC,4899.0,
2013-12-27,,2.0,109.0,,2825.0,,2752.0,2781.0,,112370.0,2785.0,CC,10272.0,
2013-12-30,,-73.0,868.0,,2759.0,,2692.0,2751.0,,110722.0,2712.0,CC,17483.0,
2013-12-31,,-3.0,22.0,,2729.0,,2703.0,2712.0,,107720.0,2709.0,CC,7448.0,
2014-01-02,,,780.0,300.0,2704.0,,2629.0,2702.0,,106342.0,2636.0,CC,19530.0,
2014-01-03,,63.0,226.0,,2723.0,,2633.0,2646.0,,102328.0,2699.0,CC,18498.0,
2014-01-06,,-32.0,,,2717.0,,2656.0,2708.0,,101216.0,2667.0,CC,13653.0,
2014-01-07,,8.0,400.0,,2697.0,,2663.0,2669.0,,98760.0,2675.0,CC,11525.0,
2014-01-08,,25.0,547.0,,2715.0,,2669.0,2685.0,,96882.0,2700.0,CC,10942.0,
2014-01-09,,-16.0,124.0,,2720.0,,2679.0,2701.0,,96023.0,2684.0,CC,11412.0,
2014-01-10,,28.0,443.0,,2717.0,,2676.0,2688.0,,94022.0,2712.0,CC,11857.0,
2014-01-13,,0.0,649.0,285.0,2719.0,,2682.0,2702.0,,95109.0,2712.0,CC,10771.0,
2014-01-14,,40.0,233.0,,2755.0,,2696.0,2710.0,,95468.0,2752.0,CC,13954.0,
2014-01-15,,-4.0,402.0,,2772.0,,2722.0,2762.0,,96538.0,2748.0,CC,11369.0,
2014-01-16,,5.0,342.0,35.0,2759.0,,2737.0,2750.0,,97130.0,2753.0,CC,6805.0,
2014-01-17,,-53.0,181.0,7.0,2742.0,,2685.0,2727.0,,98256.0,2700.0,CC,12997.0,
2014-01-21,,,1719.0,,2720.0,,2673.0,2710.0,,97504.0,2679.0,CC,9641.0,
2014-01-22,,18.0,67.0,,2709.0,,2660.0,2679.0,,96446.0,2697.0,CC,13151.0,
2014-01-23,,94.0,242.0,,2799.0,,2702.0,2702.0,,95504.0,2791.0,CC,24675.0,
2014-01-24,,1.0,2204.0,,2813.0,,2778.0,2794.0,,96970.0,2792.0,CC,12864.0,
2014-01-27,,97.0,4331.0,,2904.0,,2777.0,2796.0,,94771.0,2889.0,CC,28422.0,
2014-01-28,,16.0,2285.0,,2933.0,,2892.0,2910.0,,90344.0,2905.0,CC,17298.0,
2014-01-29,,13.0,1144.0,,2923.0,,2865.0,2906.0,,88422.0,2918.0,CC,14403.0,
2014-01-30,,-6.0,1314.0,,2920.0,,2893.0,2916.0,,88127.0,2912.0,CC,18246.0,
2014-01-31,,-1.0,496.0,,2925.0,,2890.0,2913.0,,87229.0,2911.0,CC,13928.0,
2014-02-03,,3.0,243.0,,2924.0,,2883.0,2896.0,,81464.0,2914.0,CC,15550.0,
2014-02-04,,-37.0,535.0,,2923.0,,2869.0,2919.0,,77316.0,2877.0,CC,21515.0,
2014-02-05,,7.0,1233.0,,2905.0,,2869.0,2886.0,,68563.0,2884.0,CC,18088.0,
2014-02-06,,2.0,608.0,75.0,2897.0,,2873.0,2884.0,,60383.0,2886.0,CC,21719.0,
2014-02-07,,36.0,980.0,10.0,2937.0,,2885.0,2888.0,,47713.0,2922.0,CC,24514.0,
2014-02-10,,-12.0,1873.0,419.0,2927.0,,2898.0,2915.0,,35455.0,2910.0,CC,19150.0,
2014-02-11,,5.0,698.0,45.0,2920.0,,2872.0,2904.0,,21247.0,2915.0,CC,16573.0,
2014-02-12,,26.0,1455.0,,2961.0,,2915.0,2920.0,,13846.0,2941.0,CC,13082.0,
2014-02-13,,-12.0,1617.0,,2941.0,,2908.0,2934.0,,6911.0,2929.0,CC,5221.0,
2014-02-14,,5.0,5.0,,2942.0,,2910.0,2926.0,,708.0,2934.0,CC,392.0,
2014-02-17,,,,,,,,,,497.0,,CC,,
2014-02-18,,,,,2945.0,,2910.0,2928.0,,497.0,2928.0,CC,51.0,
2014-02-19,,-19.0,,,2921.0,,2888.0,2916.0,,456.0,2909.0,CC,60.0,
2014-02-20,,41.0,,,2973.0,,2913.0,2913.0,,403.0,2950.0,CC,33.0,
2014-02-21,,-21.0,,,2975.0,,2925.0,2960.0,,377.0,2929.0,CC,24.0,
2014-02-24,,6.0,,,2935.0,,2913.0,2923.0,,359.0,2935.0,CC,15.0,
2014-02-25,,-36.0,,,2928.0,,2871.0,2928.0,,350.0,2899.0,CC,45.0,
2014-02-26,,10.0,,,2910.0,,2878.0,2879.0,,307.0,2909.0,CC,26.0,
2014-02-27,,24.0,,,2919.0,,2910.0,2919.0,,288.0,2933.0,CC,23.0,
2014-02-28,,2.0,,,2939.0,,2935.0,2935.0,,270.0,2935.0,CC,3.0,
2014-03-03,,-41.0,,,2911.0,,2890.0,2890.0,,267.0,2894.0,CC,12.0,
2014-03-04,,29.0,,,2852.0,,2852.0,2852.0,,257.0,2923.0,CC,4.0,
2014-03-05,,15.0,,,0.0,,0.0,0.0,,256.0,2938.0,CC,1.0,
2014-03-06,,0.0,,,2946.0,,2940.0,2946.0,,255.0,2938.0,CC,6.0,
2014-03-07,,28.0,,,2963.0,,2946.0,2946.0,,250.0,2966.0,CC,163.0,
2014-03-10,,8.0,,,2968.0,,2966.0,2966.0,,114.0,2974.0,CC,4.0,
2014-03-11,,26.0,,,3019.0,,2969.0,2983.0,,84.0,3000.0,CC,34.0,
